dataset,ap,auc,lag,percent,iteration
WARC,0.5128254409026985,0.866604205704768,213.56666666666663,1.0,99
WARC,0.502561972444419,0.8824276493858005,188.2333333333333,0.4,40
WARC,0.503028718908796,0.8729405232840587,203.42222222222225,0.4,39
WARC,0.4651208941636258,0.862801027135818,219.6555555555556,0.4,38
WARC,0.5064271641660256,0.8597820806440418,224.48888888888888,0.4,37
WARC,0.4011120717355201,0.8600527448122701,224.05555555555557,0.4,36
WARC,0.517122198422532,0.8667430078423207,213.34444444444443,0.4,35
WARC,0.355005236457611,0.8649316399472552,216.24444444444444,0.4,34
WARC,0.3965363229083747,0.8478520369213686,243.5888888888889,0.4,33
WARC,0.49230932257589,0.8607536956069124,222.9333333333333,0.4,32
WARC,0.4214832172809321,0.8560691234645015,230.4333333333333,0.4,31
WARC,0.5046384407370047,0.8474633909362204,244.2111111111111,0.4,30
WARC,0.3479005120330887,0.8465611770421265,245.6555555555556,0.4,29
WARC,0.5050405105360675,0.8566659726559789,229.4777777777778,0.4,28
WARC,0.3767967450106828,0.8611284613783052,222.33333333333331,0.4,27
WARC,0.4900307428320462,0.8699007564716497,208.2888888888889,0.4,26
WARC,0.4697109886867899,0.8765354986466792,197.66666666666663,0.4,25
WARC,0.5045180536826073,0.856999097786106,228.94444444444449,0.4,24
WARC,0.4767509452377896,0.8561385245332779,230.32222222222225,0.4,23
WARC,0.4068566676400351,0.8504268165729751,239.46666666666667,0.4,22
WARC,0.5163421892965164,0.8717884655423694,205.26666666666668,0.4,21
WARC,0.336894012722489,0.8580470539246304,227.26666666666668,0.4,20
WARC,0.4759935308971773,0.8417516829759178,253.35555555555555,0.4,19
WARC,0.4109660993154562,0.8618641127073358,221.1555555555556,0.4,18
WARC,0.5086854497099307,0.8625095426469567,220.12222222222223,0.4,17
WARC,0.4778410425225923,0.8648899993059893,216.3111111111111,0.4,16
WARC,0.4757556702198387,0.8663960024984385,213.9,0.4,15
WARC,0.4850611758972202,0.8803941980706502,191.48888888888888,0.4,14
WARC,0.4384794408807437,0.8534596432785064,234.61111111111111,0.4,41
WARC,0.5137425063180285,0.8632937747241308,218.86666666666667,0.4,13
WARC,0.4878964002550673,0.8595946977583454,224.7888888888889,0.4,42
WARC,0.47694788535335,0.8677146228051912,211.7888888888889,0.4,44
WARC,0.4147118761596736,0.8562495662433202,230.14444444444445,0.4,71
WARC,0.3821967752081678,0.8710875147477272,206.38888888888889,0.4,70
WARC,0.5209366646801468,0.8677909639808453,211.66666666666663,0.4,69
WARC,0.5161403210690679,0.8769380248455827,197.0222222222222,0.4,68
WARC,0.504741804396313,0.8635991394267472,218.37777777777777,0.4,67
WARC,0.4376852061417395,0.861211742660837,222.2,0.4,66
WARC,0.4679902266127629,0.8331181900201263,267.1777777777778,0.4,65
WARC,0.411064157464624,0.845610382399889,247.17777777777775,0.4,64
WARC,0.491778494149437,0.8734679714067597,202.57777777777775,0.4,63
WARC,0.466377078575882,0.8389062391560831,257.9111111111111,0.4,62
WARC,0.4830750702622878,0.8568325352210424,229.2111111111111,0.4,61
WARC,0.3973467055006974,0.8483170240821709,242.84444444444443,0.4,60
WARC,0.4669990620723056,0.8520161010479561,236.92222222222225,0.4,59
WARC,0.490180971142977,0.8643694912901659,217.14444444444445,0.4,58
WARC,0.4658157989147047,0.858859046429315,225.96666666666667,0.4,57
WARC,0.4105288033702691,0.8596710389339995,224.66666666666663,0.4,56
WARC,0.416321802264232,0.8602470678048441,223.74444444444444,0.4,55
WARC,0.4772961559373265,0.8621417169824416,220.7111111111111,0.4,54
WARC,0.4622659069586802,0.8599000624609618,224.3,0.4,53
WARC,0.4211511174248163,0.861017419668263,222.51111111111112,0.4,52
WARC,0.5104943621045406,0.8628218474564509,219.62222222222223,0.4,51
WARC,0.5021394644466652,0.8462558123395101,246.14444444444445,0.4,50
WARC,0.4789096518029658,0.8778610590603095,195.54444444444445,0.4,49
WARC,0.3940176037725385,0.8618016517454369,221.2555555555556,0.4,48
WARC,0.5085814381974428,0.8535429245610383,234.4777777777778,0.4,47
WARC,0.4056761516231577,0.8565410507321812,229.67777777777775,0.4,46
WARC,0.4912137527862988,0.8723991949476022,204.2888888888889,0.4,45
WARC,0.4933855138210373,0.854528419737664,232.9,0.4,43
WARC,0.5039313548754506,0.8599347629953501,224.24444444444444,0.4,12
WARC,0.4905222307294669,0.8467902005690887,245.2888888888889,0.4,11
WARC,0.4915559737062587,0.8619196335623569,221.06666666666663,0.4,10
WARC,0.4902432562773751,0.8493719203275731,241.1555555555556,0.3,77
WARC,0.4091328447046485,0.8524672079950032,236.2,0.3,76
WARC,0.4996923148374557,0.8792352002220833,193.34444444444443,0.3,75
WARC,0.3628316736107801,0.8261711430356028,278.3,0.3,74
WARC,0.5120766475240557,0.8849885488236519,184.13333333333333,0.3,73
WARC,0.399257333374775,0.8558748004719273,230.74444444444444,0.3,72
WARC,0.3911188051466218,0.8783121660073565,194.82222222222225,0.3,71
WARC,0.5041265612024186,0.8536053855229371,234.37777777777777,0.3,70
WARC,0.4239188423845819,0.8363036990769658,262.0777777777778,0.3,69
WARC,0.4437662970759159,0.8549864667915886,232.16666666666663,0.3,68
WARC,0.4940422143842306,0.8691234645013532,209.53333333333333,0.3,67
WARC,0.5034796202698548,0.8743007842320771,201.24444444444444,0.3,66
WARC,0.4893414990828647,0.8554514539523909,231.42222222222225,0.3,65
WARC,0.437853011291688,0.8601082656672914,223.96666666666667,0.3,64
WARC,0.4282361962863728,0.8437365535429245,250.17777777777775,0.3,63
WARC,0.4619056703238932,0.8567214935110001,229.38888888888889,0.3,62
WARC,0.4877043074337968,0.8702269414948991,207.76666666666668,0.3,61
WARC,0.5017897391493782,0.8546533416614616,232.7,0.3,60
WARC,0.5020138779349799,0.8610868207370393,222.4,0.3,59
WARC,0.492014532981405,0.8595877576514678,224.8,0.3,58
WARC,0.4082618682039138,0.8571795405649247,228.6555555555556,0.3,57
WARC,0.4110911438160136,0.84923311819002,241.37777777777777,0.3,56
WARC,0.5043849893449508,0.8583593587341246,226.76666666666668,0.3,55
WARC,0.3931078831688855,0.8712818377403012,206.07777777777775,0.3,54
WARC,0.3803925034233407,0.8427371781525436,251.77777777777777,0.3,53
WARC,0.3070634018807269,0.8489693941286697,241.8,0.3,52
WARC,0.3550386941530569,0.8545978208064404,232.7888888888889,0.3,51
WARC,0.4232015902607913,0.8215837323894788,285.64444444444445,0.3,78
WARC,0.5014578737730577,0.8624401415781804,220.2333333333333,0.3,79
WARC,0.4836032182934639,0.8572420015268235,228.55555555555557,0.3,80
WARC,0.4056406175868505,0.8638489832743423,217.9777777777778,0.3,81
WARC,0.3724504658436828,0.8489555139149142,241.82222222222225,0.4,9
WARC,0.5171219728710591,0.8740925810257478,201.57777777777775,0.4,8
WARC,0.3846695484684949,0.8650565618710527,216.04444444444445,0.4,7
WARC,0.5081774313080768,0.8599972239572489,224.14444444444445,0.4,6
WARC,0.4704355073737141,0.8734193906586161,202.6555555555556,0.4,5
WARC,0.3589433287653908,0.8504962176417518,239.35555555555555,0.4,4
WARC,0.4766795265845316,0.8665278645291138,213.6888888888889,0.4,3
