TransitiveTraceType,VariationPoint,Technique,PercentBest
Direct,TechniqueType,DIRECT,100\%
Direct,DirectAlgebraicModel,LSI,40\%
Direct,DirectAlgebraicModel,VSM,60\%
None,TechniqueType,COMBINED,100\%
None,TechniqueType,TRANSITIVE,0\%
None,DirectAlgebraicModel,LSI,80\%
None,DirectAlgebraicModel,VSM,20\%
None,TransitiveAlgebraicModel,LSI,40\%
None,TransitiveAlgebraicModel,VSM,60\%
None,TransitiveScaling,GLOBAL,40\%
None,TransitiveScaling,INDEPENDENT,60\%
None,TransitiveAggregation,MAX,20\%
None,TransitiveAggregation,PCA,20\%
None,TransitiveAggregation,SUM,60\%
None,TechniqueAggregation,MAX,40\%
None,TechniqueAggregation,PCA,40\%
None,TechniqueAggregation,SUM,20\%
Upper,TechniqueType,COMBINED,80\%
Upper,TechniqueType,TRANSITIVE,20\%
Upper,DirectAlgebraicModel,LSI,40\%
Upper,DirectAlgebraicModel,VSM,40\%
Upper,TransitiveAlgebraicModel,LSI,40\%
Upper,TransitiveAlgebraicModel,VSM,60\%
Upper,TransitiveScaling,GLOBAL,0\%
Upper,TransitiveScaling,INDEPENDENT,100\%
Upper,TransitiveAggregation,MAX,60\%
Upper,TransitiveAggregation,PCA,0\%
Upper,TransitiveAggregation,SUM,40\%
Upper,TechniqueAggregation,MAX,40\%
Upper,TechniqueAggregation,PCA,20\%
Upper,TechniqueAggregation,SUM,20\%
Lower,TechniqueType,COMBINED,60\%
Lower,TechniqueType,TRANSITIVE,40\%
Lower,DirectAlgebraicModel,LSI,20\%
Lower,DirectAlgebraicModel,VSM,40\%
Lower,TransitiveAlgebraicModel,LSI,40\%
Lower,TransitiveAlgebraicModel,VSM,60\%
Lower,TransitiveScaling,GLOBAL,60\%
Lower,TransitiveScaling,INDEPENDENT,80\%
Lower,TransitiveAggregation,MAX,100\%
Lower,TransitiveAggregation,PCA,0\%
Lower,TransitiveAggregation,SUM,0\%
Lower,TechniqueAggregation,MAX,40\%
Lower,TechniqueAggregation,PCA,0\%
Lower,TechniqueAggregation,SUM,20\%
All,TechniqueType,COMBINED,100\%
All,TechniqueType,TRANSITIVE,80\%
All,DirectAlgebraicModel,LSI,100\%
All,DirectAlgebraicModel,VSM,80\%
All,TransitiveAlgebraicModel,LSI,100\%
All,TransitiveAlgebraicModel,VSM,100\%
All,TransitiveScaling,GLOBAL,100\%
All,TransitiveScaling,INDEPENDENT,100\%
All,TransitiveAggregation,MAX,100\%
All,TransitiveAggregation,PCA,80\%
All,TransitiveAggregation,SUM,100\%
All,TechniqueAggregation,MAX,80\%
All,TechniqueAggregation,PCA,80\%
All,TechniqueAggregation,SUM,100\%
