Dataset,TechniqueType,QueryIndex,Metric,QueryId,MetricScore
Warc,Hybrid,18,LAG_NORMALIZED_INVERTED,20,1.0
Warc,Direct,12,LAG_NORMALIZED_INVERTED,14,1.0
Warc,Direct,14,LAG_NORMALIZED_INVERTED,16,0.9804305283757339
Warc,Direct,15,LAG_NORMALIZED_INVERTED,17,1.0
Warc,Direct,4,AP,6,0.4525121159443193
Warc,Direct,6,AP,8,1.0
Warc,Direct,1,AP,1,0.5120531849103278
Warc,Direct,7,AP,9,0.170970174857579
Warc,Direct,5,AP,7,0.8333333333333333
Warc,Direct,3,AP,5,1.0
Warc,Hybrid,7,LAG_NORMALIZED_INVERTED,9,0.4973656480505796
Warc,Hybrid,10,LAG_NORMALIZED_INVERTED,12,0.9223744292237444
Warc,Hybrid,16,LAG_NORMALIZED_INVERTED,18,1.0
Warc,Hybrid,15,LAG_NORMALIZED_INVERTED,17,1.0
Warc,Hybrid,14,LAG_NORMALIZED_INVERTED,16,0.9784735812133072
Warc,Hybrid,13,LAG_NORMALIZED_INVERTED,15,0.9530332681017613
Warc,Hybrid,12,LAG_NORMALIZED_INVERTED,14,1.0
Warc,Hybrid,11,LAG_NORMALIZED_INVERTED,13,0.9863013698630136
Warc,Direct,15,AP,17,1.0
Warc,Direct,9,AP,11,0.8167929292929292
Warc,Hybrid,9,LAG_NORMALIZED_INVERTED,11,0.8955479452054794
Warc,Hybrid,4,LAG_NORMALIZED_INVERTED,6,0.7997892518440464
Warc,Hybrid,6,LAG_NORMALIZED_INVERTED,8,1.0
Warc,Hybrid,5,LAG_NORMALIZED_INVERTED,7,0.9931506849315068
Warc,Hybrid,17,LAG_NORMALIZED_INVERTED,19,0.9863013698630136
Warc,Hybrid,3,LAG_NORMALIZED_INVERTED,5,1.0
Warc,Hybrid,2,LAG_NORMALIZED_INVERTED,4,0.3972602739726028
Warc,Hybrid,1,LAG_NORMALIZED_INVERTED,1,0.7925636007827789
Warc,Hybrid,0,LAG_NORMALIZED_INVERTED,0,0.3926940639269406
Warc,Direct,2,AP,4,0.0339366515837104
Warc,Direct,11,LAG_NORMALIZED_INVERTED,13,0.9863013698630136
Warc,Direct,0,AP,0,0.0744574802545817
Warc,Direct,10,LAG_NORMALIZED_INVERTED,12,0.9223744292237444
Warc,Direct,8,LAG_NORMALIZED_INVERTED,10,0.771689497716895
Warc,Direct,6,LAG_NORMALIZED_INVERTED,8,1.0
Warc,Direct,4,LAG_NORMALIZED_INVERTED,6,0.7755532139093784
Warc,Direct,1,LAG_NORMALIZED_INVERTED,1,0.776908023483366
Warc,Direct,3,LAG_NORMALIZED_INVERTED,5,1.0
Warc,Hybrid,16,AP,18,0.9999999999999998
Warc,Hybrid,15,AP,17,1.0
Warc,Hybrid,14,AP,16,0.8714285714285714
Warc,Hybrid,6,AP,8,1.0
Warc,Hybrid,13,AP,15,0.7118847539015607
Warc,Hybrid,18,AP,20,1.0
Warc,Hybrid,8,AP,10,0.3981900452488687
Warc,Hybrid,0,AP,0,0.0732726825670027
Warc,Hybrid,1,AP,1,0.563428923481961
Warc,Hybrid,2,AP,4,0.0351515151515151
Warc,Hybrid,3,AP,5,1.0
Warc,Hybrid,17,AP,19,0.8885281385281385
Warc,Hybrid,5,AP,7,0.8333333333333333
Warc,Hybrid,7,AP,9,0.1753133923429387
Warc,Hybrid,10,AP,12,0.6081871345029239
Warc,Hybrid,4,AP,6,0.4961182220704848
Warc,Hybrid,9,AP,11,0.8158524904214559
Warc,Hybrid,11,AP,13,0.75
Warc,Hybrid,12,AP,14,1.0
Warc,Direct,0,LAG_NORMALIZED_INVERTED,0,0.4155251141552513
Warc,Direct,18,LAG_NORMALIZED_INVERTED,20,1.0
Warc,Direct,17,LAG_NORMALIZED_INVERTED,19,0.9882583170254403
Warc,Direct,2,LAG_NORMALIZED_INVERTED,4,0.37671232876712335
Warc,Direct,16,LAG_NORMALIZED_INVERTED,18,1.0
Warc,Direct,9,LAG_NORMALIZED_INVERTED,11,0.9006849315068494
Warc,Direct,13,LAG_NORMALIZED_INVERTED,15,0.9530332681017613
Warc,Direct,18,AP,20,1.0
Warc,Direct,17,AP,19,0.8801587301587301
Warc,Direct,14,AP,16,0.8769230769230769
Warc,Transitive,13,LAG_NORMALIZED_INVERTED,15,0.8649706457925637
Warc,Transitive,10,AUC,12,0.7713178294573644
Warc,Transitive,13,AUC,15,0.8797909407665505
Warc,Transitive,7,AUC,9,0.535425101214575
Warc,Transitive,14,AUC,16,0.9581881533101044
Warc,Transitive,15,AUC,17,0.1704545454545454
Warc,Transitive,17,AUC,19,0.9738675958188152
Warc,Transitive,18,AUC,20,0.9204545454545454
Warc,Transitive,11,AUC,13,0.2873563218390804
Warc,Transitive,1,AP,1,0.6423338566195709
Warc,Transitive,2,AP,4,0.0672413793103448
Warc,Transitive,6,AUC,8,0.9942528735632185
Warc,Transitive,4,AUC,6,0.7510121457489879
Warc,Transitive,3,AP,5,0.25
Warc,Transitive,0,AP,0,0.0359133142408748
Warc,Transitive,5,AP,7,0.1088235294117647
Warc,Transitive,12,AP,14,0.0416666666666666
Warc,Transitive,4,AP,6,0.3304097029187889
Warc,Transitive,6,AP,8,0.8333333333333333
Warc,Transitive,12,LAG_NORMALIZED_INVERTED,14,0.6849315068493151
Warc,Transitive,14,LAG_NORMALIZED_INVERTED,16,0.9530332681017613
Warc,Transitive,7,LAG_NORMALIZED_INVERTED,9,0.5163329820864068
Warc,Transitive,15,LAG_NORMALIZED_INVERTED,17,0.0
Warc,Transitive,16,LAG_NORMALIZED_INVERTED,18,0.9843444227005871
Warc,Transitive,17,LAG_NORMALIZED_INVERTED,19,0.9706457925636007
Warc,Transitive,18,LAG_NORMALIZED_INVERTED,20,0.904109589041096
Warc,Transitive,11,LAG_NORMALIZED_INVERTED,13,0.3287671232876712
Warc,Transitive,5,LAG_NORMALIZED_INVERTED,7,0.8356164383561644
Warc,Transitive,6,LAG_NORMALIZED_INVERTED,8,0.9931506849315068
Warc,Transitive,10,LAG_NORMALIZED_INVERTED,12,0.730593607305936
Warc,Transitive,9,LAG_NORMALIZED_INVERTED,11,0.19691780821917815
Warc,Transitive,8,LAG_NORMALIZED_INVERTED,10,0.11415525114155245
Warc,Transitive,1,LAG_NORMALIZED_INVERTED,1,0.863013698630137
Warc,Direct,12,AP,14,1.0
Warc,Direct,11,AP,13,0.75
Warc,Direct,10,AP,12,0.6081871345029239
Warc,Direct,13,AP,15,0.7165532879818595
Warc,Direct,8,AP,10,0.3988648090815273
Warc,Direct,16,AP,18,0.9999999999999998
Warc,Hybrid,8,LAG_NORMALIZED_INVERTED,10,0.7671232876712328
Warc,Transitive,3,AUC,5,0.9659090909090908
Warc,Transitive,10,AP,12,0.1648048048048048
Warc,Transitive,2,AUC,4,0.6264367816091955
Warc,Transitive,0,AUC,0,0.37984496124031
Warc,Transitive,9,AP,11,0.0660759203579183
Warc,Transitive,8,AP,10,0.029106507637581
Warc,Transitive,12,AUC,14,0.7386363636363635
Warc,Direct,7,LAG_NORMALIZED_INVERTED,9,0.49209694415173866
Warc,Transitive,5,AUC,7,0.8620689655172413
Warc,Transitive,18,AP,20,0.125
Warc,Transitive,17,AP,19,0.7745421245421245
Warc,Transitive,16,AP,18,0.8909090909090909
Warc,Transitive,15,AP,17,0.0135135135135135
Warc,Transitive,14,AP,16,0.7475908149821193
Warc,Transitive,7,AP,9,0.1546596802351488
Warc,Transitive,13,AP,15,0.5831101265883875
Warc,Transitive,8,AUC,10,0.248062015503876
Warc,Transitive,1,AUC,1,0.8780487804878049
Warc,Transitive,16,AUC,18,0.9860627177700348
Warc,Transitive,9,AUC,11,0.2762345679012346
Warc,Transitive,0,LAG_NORMALIZED_INVERTED,0,0.26940639269406397
Warc,Transitive,3,LAG_NORMALIZED_INVERTED,5,0.9589041095890412
Warc,Transitive,2,LAG_NORMALIZED_INVERTED,4,0.5547945205479452
Warc,Transitive,11,AP,13,0.0224719101123595
Warc,Direct,5,LAG_NORMALIZED_INVERTED,7,0.9931506849315068
Warc,Transitive,4,LAG_NORMALIZED_INVERTED,6,0.7407797681770285
Warc,Direct,9,AUC,11,0.9104938271604938
Warc,Hybrid,0,AUC,0,0.4844961240310078
Warc,Hybrid,11,AUC,13,0.9885057471264368
Warc,Direct,6,AUC,8,1.0
Warc,Direct,4,AUC,6,0.7844129554655871
Warc,Hybrid,12,AUC,14,1.0
Warc,Direct,1,AUC,1,0.8013937282229965
Warc,Direct,8,AUC,10,0.8062015503875968
Warc,Hybrid,14,AUC,16,0.980836236933798
Warc,Hybrid,15,AUC,17,1.0
Warc,Hybrid,16,AUC,18,1.0
Warc,Direct,13,AUC,15,0.9581881533101044
Warc,Direct,10,AUC,12,0.9341085271317828
Warc,Direct,7,AUC,9,0.5121457489878543
Warc,Direct,5,AUC,7,0.9942528735632185
Warc,Hybrid,17,AUC,19,0.9878048780487804
Warc,Hybrid,9,AUC,11,0.9058641975308642
Warc,Hybrid,3,AUC,5,1.0
Warc,Hybrid,2,AUC,4,0.4942528735632184
Warc,Hybrid,1,AUC,1,0.8153310104529616
Warc,Hybrid,5,AUC,7,0.9942528735632185
Warc,Hybrid,7,AUC,9,0.5172064777327935
Warc,Hybrid,4,AUC,6,0.8076923076923077
Warc,Direct,12,AUC,14,1.0
Warc,Hybrid,6,AUC,8,1.0
Warc,Direct,0,AUC,0,0.5038759689922481
Warc,Direct,18,AUC,20,1.0
Warc,Direct,11,AUC,13,0.9885057471264368
Warc,Hybrid,18,AUC,20,1.0
Warc,Hybrid,10,AUC,12,0.9341085271317828
Warc,Direct,17,AUC,19,0.989547038327526
Warc,Direct,16,AUC,18,1.0
Warc,Direct,14,AUC,16,0.9825783972125436
Warc,Direct,15,AUC,17,1.0
Warc,Hybrid,8,AUC,10,0.8023255813953487
Warc,Hybrid,13,AUC,15,0.9581881533101044
Warc,Direct,3,AUC,5,1.0
Warc,Direct,2,AUC,4,0.4770114942528736
Drone,Hybrid,18,AP,37,0.4386168103426777
Drone,Hybrid,15,AP,28,0.4143124664218994
Drone,Hybrid,14,AP,27,0.4639321568170466
Drone,Hybrid,7,AP,9,0.4388717466192839
Drone,Transitive,16,LAG_NORMALIZED_INVERTED,29,0.5333131984294774
Drone,Transitive,23,LAG_NORMALIZED_INVERTED,48,0.6355783751132589
Drone,Hybrid,17,AP,35,0.3532670327746183
Drone,Hybrid,22,AP,45,0.4654572216373471
Drone,Hybrid,28,AP,53,0.5189698555063257
Drone,Hybrid,8,AP,10,0.4399718856664325
Drone,Transitive,15,LAG_NORMALIZED_INVERTED,28,0.6116883116883116
Drone,Hybrid,10,AP,16,0.4641774970750799
Drone,Transitive,14,LAG_NORMALIZED_INVERTED,27,0.6443672606463303
Drone,Hybrid,11,AP,23,0.4892330087200751
Drone,Hybrid,12,AP,24,0.4304269496778821
Drone,Hybrid,6,AP,8,0.447130345237421
Drone,Hybrid,16,AP,29,0.3794817402868788
Drone,Hybrid,13,AP,26,0.0032679738562091
Drone,Hybrid,3,AP,4,0.4408539245181532
Drone,Direct,2,LAG_NORMALIZED_INVERTED,3,0.5420114768951978
Drone,Direct,27,LAG_NORMALIZED_INVERTED,52,0.5910903050437935
Drone,Direct,26,LAG_NORMALIZED_INVERTED,51,1.0
Drone,Direct,25,LAG_NORMALIZED_INVERTED,50,0.610903050437934
Drone,Direct,24,LAG_NORMALIZED_INVERTED,49,0.5759891271519177
Drone,Direct,23,LAG_NORMALIZED_INVERTED,48,0.6123225611597705
Drone,Direct,21,LAG_NORMALIZED_INVERTED,44,0.5351253397765026
Drone,Direct,3,LAG_NORMALIZED_INVERTED,4,0.5863485351857445
Drone,Direct,20,LAG_NORMALIZED_INVERTED,41,0.5736635457565691
Drone,Direct,18,LAG_NORMALIZED_INVERTED,37,0.542826940501359
Drone,Direct,17,LAG_NORMALIZED_INVERTED,35,0.9102990033222591
Drone,Direct,16,LAG_NORMALIZED_INVERTED,29,0.4351253397765025
Drone,Hybrid,9,AP,15,0.4106586677145194
Drone,Transitive,13,LAG_NORMALIZED_INVERTED,26,0.7275747508305648
Drone,Transitive,7,LAG_NORMALIZED_INVERTED,9,0.6638477801268499
Drone,Transitive,1,LAG_NORMALIZED_INVERTED,2,0.6737541528239201
Drone,Direct,19,LAG_NORMALIZED_INVERTED,39,0.527423739051646
Drone,Direct,4,LAG_NORMALIZED_INVERTED,6,0.5035638779824826
Drone,Direct,5,LAG_NORMALIZED_INVERTED,7,0.5523708849290243
Drone,Direct,8,LAG_NORMALIZED_INVERTED,10,0.5719722138326788
Drone,Hybrid,4,AP,6,0.4965660142596069
Drone,Hybrid,2,AP,3,0.4407782693397243
Drone,Hybrid,1,AP,2,0.4390801107900776
Drone,Hybrid,0,AP,0,0.4118046527672485
Drone,Hybrid,27,AP,52,0.4623803114249264
Drone,Hybrid,29,AP,54,0.4450674868924025
Drone,Direct,15,LAG_NORMALIZED_INVERTED,28,0.48728480821504083
Drone,Direct,28,LAG_NORMALIZED_INVERTED,53,0.6491694352159468
Drone,Direct,22,LAG_NORMALIZED_INVERTED,45,0.5679855028692238
Drone,Direct,13,LAG_NORMALIZED_INVERTED,26,0.415282392026578
Drone,Direct,14,LAG_NORMALIZED_INVERTED,27,0.5788583509513743
Drone,Direct,12,LAG_NORMALIZED_INVERTED,24,0.5472364844457868
Drone,Direct,7,LAG_NORMALIZED_INVERTED,9,0.5712171549380851
Drone,Direct,11,LAG_NORMALIZED_INVERTED,23,0.6310480217456962
Drone,Direct,1,LAG_NORMALIZED_INVERTED,2,0.49589247961340976
Drone,Direct,10,LAG_NORMALIZED_INVERTED,16,0.5399275143461191
Drone,Direct,9,LAG_NORMALIZED_INVERTED,15,0.4835397160978555
