dataset,percent,iteration,metric,value
WARC,1.0,99,AP,0.8849556477727967
WARC,0.3,74,AP,0.7335828282431942
WARC,0.3,73,AP,0.7222427811831246
WARC,0.3,72,AP,0.6910051730479951
WARC,0.3,71,AP,0.7782722264753362
WARC,0.3,70,AP,0.726460386268931
WARC,0.3,69,AP,0.7014756263390327
WARC,0.3,68,AP,0.7603294317245113
WARC,0.3,67,AP,0.6388065309307223
WARC,0.3,66,AP,0.6910011769007249
WARC,0.3,65,AP,0.6548933794649608
WARC,0.3,64,AP,0.7658586531314798
WARC,0.3,63,AP,0.6800616654167343
WARC,0.3,62,AP,0.6437036077131882
WARC,0.3,61,AP,0.6109859294022771
WARC,0.3,75,AP,0.6826018493437704
WARC,0.3,60,AP,0.729086855780548
WARC,0.3,58,AP,0.7418657748964378
WARC,0.3,57,AP,0.6823418861536088
WARC,0.3,56,AP,0.6837170634034346
WARC,0.3,55,AP,0.7403220187353909
WARC,0.3,54,AP,0.7658847033999947
WARC,0.3,53,AP,0.6512912110768424
WARC,0.3,52,AP,0.7176904897957129
WARC,0.3,51,AP,0.7099497778157621
WARC,0.3,50,AP,0.7516068164824135
WARC,0.3,49,AP,0.6904942373221508
WARC,0.3,48,AP,0.7231270520056199
WARC,0.3,47,AP,0.7360185084367047
WARC,0.3,46,AP,0.7264483559315266
WARC,0.3,45,AP,0.7466743902716836
WARC,0.3,59,AP,0.6672220075215655
WARC,0.3,44,AP,0.7730222751720791
WARC,0.3,76,AP,0.6663652381332438
WARC,0.3,78,AP,0.6550470366889096
WARC,0.4,8,AP,0.7090272827007585
WARC,0.4,7,AP,0.8043245791994962
WARC,0.4,6,AP,0.7354965013991781
WARC,0.4,5,AP,0.73844428232777
WARC,0.4,4,AP,0.6982550791155495
WARC,0.4,3,AP,0.765866716849174
WARC,0.4,2,AP,0.7472517289874593
WARC,0.4,1,AP,0.7963542552998416
WARC,0.4,0,AP,0.7048778024144038
WARC,0.3,99,AP,0.7079044976081451
WARC,0.3,98,AP,0.6954630352828061
WARC,0.3,97,AP,0.7082255471779388
WARC,0.3,96,AP,0.6166042492934917
WARC,0.3,95,AP,0.7130477805816782
WARC,0.3,77,AP,0.7135896033191734
WARC,0.3,94,AP,0.6860368804815856
WARC,0.3,92,AP,0.7344356633924286
WARC,0.3,91,AP,0.6911140629637869
WARC,0.3,90,AP,0.6428248644708912
WARC,0.3,89,AP,0.7560519040550688
WARC,0.3,88,AP,0.7420667351832375
WARC,0.3,87,AP,0.6921539906591395
WARC,0.3,86,AP,0.6883672684173384
WARC,0.3,85,AP,0.7175861979888499
WARC,0.3,84,AP,0.7875457232370859
WARC,0.3,83,AP,0.6832541654483734
WARC,0.3,82,AP,0.7066825274154814
WARC,0.3,81,AP,0.7585801108445529
WARC,0.3,80,AP,0.7050844301179217
WARC,0.3,79,AP,0.6976045685223585
WARC,0.3,93,AP,0.6796150466933006
WARC,0.3,43,AP,0.7195029921647677
WARC,0.3,42,AP,0.7234043763986238
WARC,0.3,41,AP,0.7177002191534477
WARC,0.3,5,AP,0.7179851337924258
WARC,0.3,4,AP,0.6440164870813757
WARC,0.3,3,AP,0.6980368993234383
WARC,0.3,2,AP,0.7224653737661189
WARC,0.3,1,AP,0.6612275042689922
WARC,0.3,0,AP,0.7067172087634298
WARC,0.2,99,AP,0.6242318705793144
WARC,0.2,98,AP,0.5819255735907635
WARC,0.2,97,AP,0.6474557681062925
WARC,0.2,96,AP,0.6726553376164603
WARC,0.2,95,AP,0.6310645181517552
WARC,0.2,94,AP,0.6579669421820425
WARC,0.2,93,AP,0.6380003714795767
WARC,0.2,92,AP,0.6047803858371785
WARC,0.3,6,AP,0.7074138889891477
WARC,0.2,91,AP,0.6401650179518791
WARC,0.2,89,AP,0.6844425012869028
WARC,0.2,88,AP,0.6793537838454728
WARC,0.2,87,AP,0.6370243656071177
WARC,0.2,86,AP,0.5579455756845543
WARC,0.2,85,AP,0.640046835183367
WARC,0.2,84,AP,0.6081670243592505
WARC,0.2,83,AP,0.6357656292906246
WARC,0.2,82,AP,0.6258558125052911
WARC,0.2,81,AP,0.6932487893919527
WARC,0.2,80,AP,0.6524828728366862
WARC,0.2,79,AP,0.6220721403620815
WARC,0.2,78,AP,0.5876994100632332
WARC,0.2,77,AP,0.6344063295767434
WARC,0.2,76,AP,0.6866224507138495
WARC,0.2,90,AP,0.6928481094843767
WARC,0.3,7,AP,0.7386168476077082
WARC,0.3,8,AP,0.686428369729109
WARC,0.3,9,AP,0.7399372834270155
WARC,0.3,40,AP,0.7130623379179625
WARC,0.3,39,AP,0.7045153760261263
WARC,0.3,38,AP,0.7309775412791736
WARC,0.3,37,AP,0.7330787319682003
WARC,0.3,36,AP,0.7222875838674157
WARC,0.3,35,AP,0.6890697033118485
WARC,0.3,34,AP,0.7189182572283684
WARC,0.3,33,AP,0.6959740405760735
WARC,0.3,32,AP,0.6906865674117991
WARC,0.3,31,AP,0.7370858170610256
WARC,0.3,30,AP,0.7229555896824951
WARC,0.3,29,AP,0.6934201310110286
WARC,0.3,28,AP,0.7133201775996588
WARC,0.3,27,AP,0.7136960316167672
WARC,0.3,26,AP,0.6903364664688725
WARC,0.3,25,AP,0.711379187134363
WARC,0.3,24,AP,0.6852940745016168
WARC,0.3,10,AP,0.7489804028439391
WARC,0.3,11,AP,0.7185605640055854
WARC,0.3,12,AP,0.7208457560825613
WARC,0.3,13,AP,0.7331045882675888
WARC,0.3,14,AP,0.7166291843041503
WARC,0.3,15,AP,0.7563163830195251
WARC,0.4,9,AP,0.7979284167808781
WARC,0.3,16,AP,0.6751985622771391
WARC,0.3,18,AP,0.6489225800916542
WARC,0.3,19,AP,0.666306074896669
WARC,0.3,20,AP,0.7278190520481403
WARC,0.3,21,AP,0.6524886760403963
WARC,0.3,22,AP,0.7179400855891922
WARC,0.3,23,AP,0.7234161496214596
WARC,0.3,17,AP,0.7300550885224244
WARC,0.4,10,AP,0.7344643918467298
WARC,0.4,11,AP,0.7704423137604873
WARC,0.4,12,AP,0.7564752159190901
WARC,0.5,11,AP,0.7545938510410156
WARC,0.5,10,AP,0.8312184682380559
WARC,0.5,9,AP,0.8218298425432795
WARC,0.5,8,AP,0.8259595729405899
WARC,0.5,7,AP,0.825436561960252
WARC,0.5,6,AP,0.784505433237431
WARC,0.5,5,AP,0.8021535629356915
WARC,0.5,4,AP,0.7486051924672689
WARC,0.5,3,AP,0.8003527173245076
WARC,0.5,2,AP,0.775569643971397
WARC,0.5,1,AP,0.83487827450843
WARC,0.5,0,AP,0.8148733232375067
WARC,0.4,99,AP,0.7448038679682607
WARC,0.4,98,AP,0.7881127938602049
WARC,0.5,12,AP,0.8172371554524389
WARC,0.4,97,AP,0.741217176685934
WARC,0.4,95,AP,0.797546283863475
WARC,0.4,94,AP,0.7824604863588377
WARC,0.4,93,AP,0.757572873275276
WARC,0.4,92,AP,0.7585982629035923
WARC,0.4,91,AP,0.7210569796977973
WARC,0.4,90,AP,0.7895908046934733
WARC,0.4,89,AP,0.794745098158398
WARC,0.4,88,AP,0.7849847024095155
WARC,0.4,87,AP,0.788143596209097
WARC,0.4,86,AP,0.769313152267555
WARC,0.4,85,AP,0.7250130121398186
WARC,0.4,84,AP,0.7723795979192272
WARC,0.4,83,AP,0.8036054875816129
WARC,0.4,82,AP,0.7666478202743143
WARC,0.4,96,AP,0.7668645414717595
WARC,0.5,13,AP,0.8354076766846766
WARC,0.5,14,AP,0.766673863302279
WARC,0.5,15,AP,0.7878151451905916
WARC,0.5,46,AP,0.8127962469468089
WARC,0.5,45,AP,0.8132749406637912
WARC,0.5,44,AP,0.8051730932286111
WARC,0.5,43,AP,0.7292093555608664
WARC,0.5,42,AP,0.7975247153534062
WARC,0.5,41,AP,0.8173484510064662
WARC,0.5,40,AP,0.7905779431680501
WARC,0.5,39,AP,0.8382350550820085
WARC,0.5,38,AP,0.7479420152873131
WARC,0.5,37,AP,0.8086187440541931
WARC,0.5,36,AP,0.7770328719477072
WARC,0.5,35,AP,0.7870854024664943
WARC,0.5,34,AP,0.7830206405188914
WARC,0.5,33,AP,0.8261871210183479
WARC,0.5,32,AP,0.788720766208271
WARC,0.5,31,AP,0.7887681561435705
WARC,0.5,30,AP,0.8143874746691679
WARC,0.5,16,AP,0.832912473888249
WARC,0.5,17,AP,0.8094052795514971
WARC,0.5,18,AP,0.8224512327283261
WARC,0.5,19,AP,0.8112379782803207
WARC,0.5,20,AP,0.8125058388710827
WARC,0.5,21,AP,0.8220384487984416
WARC,0.4,81,AP,0.7594113274777892
WARC,0.5,22,AP,0.8097523440991967
WARC,0.5,24,AP,0.766540109143688
WARC,0.5,25,AP,0.8265390166218871
WARC,0.5,26,AP,0.8184846487784914
WARC,0.5,27,AP,0.7978369723091701
WARC,0.5,28,AP,0.8371415565033171
WARC,0.5,29,AP,0.7951415872111326
WARC,0.5,23,AP,0.8131665862670717
WARC,0.2,75,AP,0.6660463688323826
WARC,0.4,80,AP,0.6837668758744444
WARC,0.4,78,AP,0.8059058240766827
WARC,0.4,42,AP,0.7336746422882057
WARC,0.4,41,AP,0.7881732506678668
WARC,0.4,40,AP,0.7448925663491758
WARC,0.4,39,AP,0.7599256181736532
WARC,0.4,38,AP,0.7102577649317158
WARC,0.4,37,AP,0.7413911408980355
WARC,0.4,36,AP,0.7348384968455545
WARC,0.4,35,AP,0.7519184263437232
WARC,0.4,34,AP,0.7426817272669338
WARC,0.4,33,AP,0.7204507724160087
WARC,0.4,32,AP,0.8194300312018248
WARC,0.4,31,AP,0.7770285575446106
WARC,0.4,30,AP,0.7472013333398966
WARC,0.4,29,AP,0.7382138591640437
WARC,0.4,43,AP,0.8101914517608957
WARC,0.4,28,AP,0.7640762903737615
WARC,0.4,26,AP,0.7332131174016143
WARC,0.4,25,AP,0.7570428730997895
WARC,0.4,24,AP,0.7389401627762928
WARC,0.4,23,AP,0.759162569979676
WARC,0.4,22,AP,0.7184193409262427
WARC,0.4,21,AP,0.6766628967950075
WARC,0.4,20,AP,0.7787645134973211
WARC,0.4,19,AP,0.786356457454461
WARC,0.4,18,AP,0.7709427840132203
WARC,0.4,17,AP,0.7480910424957952
WARC,0.4,16,AP,0.6852111320821722
WARC,0.4,15,AP,0.7313286154063426
WARC,0.4,14,AP,0.7438158081587412
WARC,0.4,13,AP,0.8145591624771058
WARC,0.4,27,AP,0.7837090259930105
WARC,0.4,44,AP,0.741455343101194
WARC,0.4,45,AP,0.7887587004175134
WARC,0.4,46,AP,0.7842947907006448
WARC,0.4,77,AP,0.6370687591092317
WARC,0.4,76,AP,0.7446039223425756
WARC,0.4,75,AP,0.7662739458540745
WARC,0.4,74,AP,0.7613962600854718
WARC,0.4,73,AP,0.776973400415469
WARC,0.4,72,AP,0.7304566117683118
WARC,0.4,71,AP,0.7212106104293313
WARC,0.4,70,AP,0.7807388959859125
WARC,0.4,69,AP,0.7299932654308001
WARC,0.4,68,AP,0.7887742716493207
WARC,0.4,67,AP,0.7622201411324658
WARC,0.4,66,AP,0.7164115433741562
WARC,0.4,65,AP,0.7049155535158365
WARC,0.4,64,AP,0.7646101978888076
WARC,0.4,63,AP,0.7539984009261563
WARC,0.4,62,AP,0.7815414233239342
WARC,0.4,61,AP,0.7638255400962324
WARC,0.4,47,AP,0.8045484753560519
WARC,0.4,48,AP,0.7201979742489055
WARC,0.4,49,AP,0.8114239604737548
WARC,0.4,50,AP,0.7450806012800777
WARC,0.4,51,AP,0.7521772606645145
WARC,0.4,52,AP,0.7838999217746744
WARC,0.4,79,AP,0.7483098411054175
WARC,0.4,53,AP,0.7276828072610017
WARC,0.4,55,AP,0.77039316315327
WARC,0.4,56,AP,0.7707538183303818
WARC,0.4,57,AP,0.7343883729403582
WARC,0.4,58,AP,0.7446609934048236
WARC,0.4,59,AP,0.7669531624546544
WARC,0.4,60,AP,0.780361312018536
WARC,0.4,54,AP,0.7843678615313083
WARC,0.2,74,AP,0.6273565815774172
WARC,0.2,73,AP,0.5968936412925805
WARC,0.2,72,AP,0.599997269112752
WARC,0.0,98,AP,0.4353239717435638
WARC,0.0,97,AP,0.4353239717435638
WARC,0.0,96,AP,0.4353239717435638
WARC,0.0,95,AP,0.4353239717435638
WARC,0.0,94,AP,0.4353239717435638
WARC,0.0,93,AP,0.4353239717435638
WARC,0.0,92,AP,0.4353239717435638
WARC,0.0,91,AP,0.4353239717435638
WARC,0.0,90,AP,0.4353239717435638
WARC,0.0,89,AP,0.4353239717435638
WARC,0.0,88,AP,0.4353239717435638
WARC,0.0,87,AP,0.4353239717435638
WARC,0.0,86,AP,0.4353239717435638
WARC,0.0,85,AP,0.4353239717435638
WARC,0.0,99,AP,0.4353239717435638
WARC,0.0,84,AP,0.4353239717435638
WARC,0.0,82,AP,0.4353239717435638
WARC,0.0,81,AP,0.4353239717435638
WARC,0.0,80,AP,0.4353239717435638
WARC,0.0,79,AP,0.4353239717435638
WARC,0.0,78,AP,0.4353239717435638
WARC,0.0,77,AP,0.4353239717435638
WARC,0.0,76,AP,0.4353239717435638
WARC,0.0,75,AP,0.4353239717435638
WARC,0.0,74,AP,0.4353239717435638
WARC,0.0,73,AP,0.4353239717435638
WARC,0.0,72,AP,0.4353239717435638
WARC,0.0,71,AP,0.4353239717435638
WARC,0.0,70,AP,0.4353239717435638
WARC,0.0,69,AP,0.4353239717435638
WARC,0.0,83,AP,0.4353239717435638
WARC,0.1,0,AP,0.5927417128924434
WARC,0.1,1,AP,0.5405070444308173
WARC,0.1,2,AP,0.5382663694148643
WARC,0.1,33,AP,0.5799614888190682
WARC,0.1,32,AP,0.568386629320673
WARC,0.1,31,AP,0.5182813104031905
WARC,0.1,30,AP,0.537542826016575
WARC,0.1,29,AP,0.5197039200829653
WARC,0.1,28,AP,0.5860813636324762
WARC,0.1,27,AP,0.5864674221722231
WARC,0.1,26,AP,0.5699038489733314
WARC,0.1,25,AP,0.5522790119719517
WARC,0.1,24,AP,0.5295005713886516
WARC,0.1,23,AP,0.5052032043320068
WARC,0.1,22,AP,0.5644560590257924
WARC,0.1,21,AP,0.5675541989129168
WARC,0.1,20,AP,0.6034142148976284
WARC,0.1,19,AP,0.5812678009804259
WARC,0.1,18,AP,0.5762814245467764
WARC,0.1,17,AP,0.5270929236690812
WARC,0.1,3,AP,0.6025898523539374
WARC,0.1,4,AP,0.5918265746974997
WARC,0.1,5,AP,0.5034116502890948
WARC,0.1,6,AP,0.5791679122626946
WARC,0.1,7,AP,0.5656268169377265
WARC,0.1,8,AP,0.581548879922592
WARC,0.0,68,AP,0.4353239717435638
WARC,0.1,9,AP,0.5872600249960784
WARC,0.1,11,AP,0.57381183608563
WARC,0.1,12,AP,0.5515227871987396
WARC,0.1,13,AP,0.5774648275321932
WARC,0.1,14,AP,0.5535516852143775
WARC,0.1,15,AP,0.5225558370281183
WARC,0.1,16,AP,0.5677356739799858
WARC,0.1,10,AP,0.4737009974307533
WARC,0.1,34,AP,0.5231348211088362
WARC,0.0,67,AP,0.4353239717435638
WARC,0.0,65,AP,0.4353239717435638
WARC,0.0,29,AP,0.4353239717435638
WARC,0.0,28,AP,0.4353239717435638
WARC,0.0,27,AP,0.4353239717435638
WARC,0.0,26,AP,0.4353239717435638
WARC,0.0,25,AP,0.4353239717435638
WARC,0.0,24,AP,0.4353239717435638
WARC,0.0,23,AP,0.4353239717435638
WARC,0.0,22,AP,0.4353239717435638
WARC,0.0,21,AP,0.4353239717435638
WARC,0.0,20,AP,0.4353239717435638
WARC,0.0,19,AP,0.4353239717435638
WARC,0.0,18,AP,0.4353239717435638
WARC,0.0,17,AP,0.4353239717435638
WARC,0.0,16,AP,0.4353239717435638
WARC,0.0,30,AP,0.4353239717435638
WARC,0.0,15,AP,0.4353239717435638
WARC,0.0,13,AP,0.4353239717435638
WARC,0.0,12,AP,0.4353239717435638
WARC,0.0,11,AP,0.4353239717435638
WARC,0.0,10,AP,0.4353239717435638
WARC,0.0,9,AP,0.4353239717435638
WARC,0.0,8,AP,0.4353239717435638
WARC,0.0,7,AP,0.4353239717435638
WARC,0.0,6,AP,0.4353239717435638
WARC,0.0,5,AP,0.4353239717435638
WARC,0.0,4,AP,0.4353239717435638
WARC,0.0,3,AP,0.4353239717435638
WARC,0.0,2,AP,0.4353239717435638
WARC,0.0,1,AP,0.4353239717435638
WARC,0.0,0,AP,0.4353239717435638
WARC,0.0,14,AP,0.4353239717435638
WARC,0.0,31,AP,0.4353239717435638
WARC,0.0,32,AP,0.4353239717435638
WARC,0.0,33,AP,0.4353239717435638
WARC,0.0,64,AP,0.4353239717435638
WARC,0.0,63,AP,0.4353239717435638
WARC,0.0,62,AP,0.4353239717435638
WARC,0.0,61,AP,0.4353239717435638
WARC,0.0,60,AP,0.4353239717435638
WARC,0.0,59,AP,0.4353239717435638
WARC,0.0,58,AP,0.4353239717435638
WARC,0.0,57,AP,0.4353239717435638
WARC,0.0,56,AP,0.4353239717435638
WARC,0.0,55,AP,0.4353239717435638
WARC,0.0,54,AP,0.4353239717435638
WARC,0.0,53,AP,0.4353239717435638
WARC,0.0,52,AP,0.4353239717435638
WARC,0.0,51,AP,0.4353239717435638
WARC,0.0,50,AP,0.4353239717435638
WARC,0.0,49,AP,0.4353239717435638
WARC,0.0,48,AP,0.4353239717435638
WARC,0.0,34,AP,0.4353239717435638
WARC,0.0,35,AP,0.4353239717435638
WARC,0.0,36,AP,0.4353239717435638
WARC,0.0,37,AP,0.4353239717435638
WARC,0.0,38,AP,0.4353239717435638
WARC,0.0,39,AP,0.4353239717435638
WARC,0.0,66,AP,0.4353239717435638
WARC,0.0,40,AP,0.4353239717435638
WARC,0.0,42,AP,0.4353239717435638
WARC,0.0,43,AP,0.4353239717435638
WARC,0.0,44,AP,0.4353239717435638
WARC,0.0,45,AP,0.4353239717435638
WARC,0.0,46,AP,0.4353239717435638
WARC,0.0,47,AP,0.4353239717435638
WARC,0.0,41,AP,0.4353239717435638
WARC,0.5,47,AP,0.8346678353919954
WARC,0.1,35,AP,0.577048453253709
WARC,0.1,37,AP,0.5582648676544052
WARC,0.2,36,AP,0.6514586651273778
WARC,0.2,35,AP,0.643848047950052
WARC,0.2,34,AP,0.5853411852102994
WARC,0.2,33,AP,0.6127129742886243
WARC,0.2,32,AP,0.6426213519356928
WARC,0.2,31,AP,0.6729988805559973
WARC,0.2,30,AP,0.6412206661465412
WARC,0.2,29,AP,0.6639888604131867
WARC,0.2,28,AP,0.663785823432577
WARC,0.2,27,AP,0.6406952262926315
WARC,0.2,26,AP,0.683078604401926
WARC,0.2,25,AP,0.6530238497649038
WARC,0.2,24,AP,0.6409375405691939
WARC,0.2,23,AP,0.6418532213941421
WARC,0.2,37,AP,0.6589995385502236
WARC,0.2,22,AP,0.6466470679892568
WARC,0.2,20,AP,0.634492790913622
WARC,0.2,19,AP,0.6286618670554919
WARC,0.2,18,AP,0.6766878082747785
WARC,0.2,17,AP,0.6125680954642536
WARC,0.2,16,AP,0.640319709417512
WARC,0.2,15,AP,0.6166823531317621
WARC,0.2,14,AP,0.671079770807094
WARC,0.2,13,AP,0.665114204807387
WARC,0.2,12,AP,0.6585497411326587
WARC,0.2,11,AP,0.5877880315900479
WARC,0.2,10,AP,0.653811675284839
WARC,0.2,9,AP,0.5773608264414656
WARC,0.2,8,AP,0.5891550738251373
WARC,0.2,7,AP,0.605924237483959
WARC,0.2,21,AP,0.5830675678288917
WARC,0.2,38,AP,0.6608679483048491
WARC,0.2,39,AP,0.6291053487290698
WARC,0.2,40,AP,0.6689757643033446
WARC,0.2,71,AP,0.6526977623648508
WARC,0.2,70,AP,0.6600744039984707
WARC,0.2,69,AP,0.6879933734330811
WARC,0.2,68,AP,0.6198613018459843
WARC,0.2,67,AP,0.6081420376073878
WARC,0.2,66,AP,0.690557395046604
WARC,0.2,65,AP,0.5991952369160214
WARC,0.2,64,AP,0.6476113133448655
WARC,0.2,63,AP,0.6209601297713001
WARC,0.2,62,AP,0.6448858683079222
WARC,0.2,61,AP,0.6428464649615361
WARC,0.2,60,AP,0.5971544518074524
WARC,0.2,59,AP,0.6184458673739179
WARC,0.2,58,AP,0.5970713665178518
WARC,0.2,57,AP,0.6323850264790326
WARC,0.2,56,AP,0.5716934729024572
WARC,0.2,55,AP,0.6530481584560528
WARC,0.2,41,AP,0.6633642857432598
WARC,0.2,42,AP,0.5857625083545295
WARC,0.2,43,AP,0.6424667675017938
WARC,0.2,44,AP,0.6655716089717318
WARC,0.2,45,AP,0.6259626041888873
WARC,0.2,46,AP,0.6642147627983079
WARC,0.2,6,AP,0.7099971200414569
WARC,0.2,47,AP,0.6993611548695948
WARC,0.2,49,AP,0.6306946699404379
WARC,0.2,50,AP,0.659422780083915
WARC,0.2,51,AP,0.67017470261601
WARC,0.2,52,AP,0.7034129429352598
WARC,0.2,53,AP,0.6018474692822818
WARC,0.2,54,AP,0.6714156523827858
WARC,0.2,48,AP,0.6236310803345384
WARC,0.1,36,AP,0.5590789845550848
WARC,0.2,5,AP,0.6889834709384356
WARC,0.2,3,AP,0.6843301394350835
WARC,0.1,67,AP,0.5366831136441
WARC,0.1,66,AP,0.5491870968080317
WARC,0.1,65,AP,0.5692238435308177
WARC,0.1,64,AP,0.568567674042642
WARC,0.1,63,AP,0.5516710150875134
WARC,0.1,62,AP,0.620673765600648
WARC,0.1,61,AP,0.6277084847649802
WARC,0.1,60,AP,0.5536138942550223
WARC,0.1,59,AP,0.5414815684478193
WARC,0.1,58,AP,0.5237955086618431
WARC,0.1,57,AP,0.5554560654017064
WARC,0.1,56,AP,0.5733308276047209
WARC,0.1,55,AP,0.5067632134735125
WARC,0.1,54,AP,0.5596599122456745
WARC,0.1,68,AP,0.5541466565850585
WARC,0.1,53,AP,0.5494805231440874
WARC,0.1,51,AP,0.5628432189475107
WARC,0.1,50,AP,0.5341733801412192
WARC,0.1,49,AP,0.5748771567444857
WARC,0.1,48,AP,0.5332284675618599
WARC,0.1,47,AP,0.5440252928769747
WARC,0.1,46,AP,0.5103558474013753
WARC,0.1,45,AP,0.5579875424395649
WARC,0.1,44,AP,0.5390117391400144
WARC,0.1,43,AP,0.5320697141625463
WARC,0.1,42,AP,0.5474570267253166
WARC,0.1,41,AP,0.5827916831930088
WARC,0.1,40,AP,0.5445527828898058
WARC,0.1,39,AP,0.5583232911586666
WARC,0.1,38,AP,0.56581876268173
WARC,0.1,52,AP,0.5187170237806162
WARC,0.1,69,AP,0.5516245960978741
WARC,0.1,70,AP,0.5280508315328448
WARC,0.1,71,AP,0.6085766447582959
WARC,0.2,2,AP,0.5884168528530669
WARC,0.2,1,AP,0.6440791798168006
WARC,0.2,0,AP,0.6065603818559526
WARC,0.1,99,AP,0.5746335486749186
WARC,0.1,98,AP,0.5911942350765306
WARC,0.1,97,AP,0.5872132812532658
WARC,0.1,96,AP,0.5438170691309279
WARC,0.1,95,AP,0.5297391465294079
WARC,0.1,94,AP,0.5713530050995425
WARC,0.1,93,AP,0.5470440718882877
WARC,0.1,92,AP,0.5850219378070677
WARC,0.1,91,AP,0.544496783035999
WARC,0.1,90,AP,0.5231279884282486
WARC,0.1,89,AP,0.6057848103135017
WARC,0.1,88,AP,0.5307989825998852
WARC,0.1,87,AP,0.5741192401913905
WARC,0.1,86,AP,0.5433645283978882
WARC,0.1,72,AP,0.5529206655755079
WARC,0.1,73,AP,0.5314717776683002
WARC,0.1,74,AP,0.5925869277717961
WARC,0.1,75,AP,0.516728662016322
WARC,0.1,76,AP,0.5568583668798069
WARC,0.1,77,AP,0.5425938673160673
WARC,0.2,4,AP,0.6687402492723544
WARC,0.1,78,AP,0.5720278903686543
WARC,0.1,80,AP,0.54617559109462
WARC,0.1,81,AP,0.609037074928753
WARC,0.1,82,AP,0.5201550256079998
WARC,0.1,83,AP,0.5920000610267941
WARC,0.1,84,AP,0.5273887400439036
WARC,0.1,85,AP,0.5297249008250452
WARC,0.1,79,AP,0.5605004172290277
WARC,0.5,48,AP,0.8080193706940194
WARC,1.0,98,AP,0.8849556477727967
WARC,0.5,50,AP,0.8243070640985465
WARC,0.9,25,AP,0.8831869658088131
WARC,0.9,24,AP,0.8806918749861226
WARC,0.9,23,AP,0.8825588479987175
WARC,0.9,22,AP,0.8827220455663595
WARC,0.9,21,AP,0.8839712117296484
WARC,0.9,20,AP,0.8826456779542697
WARC,0.9,19,AP,0.8787462105773427
WARC,0.9,18,AP,0.8819397908004728
WARC,0.9,17,AP,0.8837020552854086
WARC,0.9,16,AP,0.8822504244600194
WARC,0.9,15,AP,0.8829574387664102
WARC,0.9,14,AP,0.8806068298770303
WARC,0.9,13,AP,0.8831411848332605
WARC,0.9,12,AP,0.8832514620896682
WARC,0.9,26,AP,0.8776773745031529
WARC,0.9,11,AP,0.8830622727998365
WARC,0.9,9,AP,0.881246163780154
WARC,0.9,8,AP,0.8837092194438322
WARC,0.9,7,AP,0.8839276912060803
WARC,0.9,6,AP,0.8832233842859213
WARC,0.9,5,AP,0.8826547375706207
WARC,0.9,4,AP,0.8828473348402933
WARC,0.9,3,AP,0.8832274540299969
WARC,0.9,2,AP,0.8837615636867435
WARC,0.9,1,AP,0.8842092406055
WARC,0.9,0,AP,0.8749447579428538
WARC,0.8,99,AP,0.8767568852470201
WARC,0.8,98,AP,0.8772744125588569
WARC,0.8,97,AP,0.8727848105588278
WARC,0.8,96,AP,0.8799535376864511
WARC,0.9,10,AP,0.8830660555847563
WARC,0.8,95,AP,0.8784493148879067
WARC,0.9,27,AP,0.8807373279111052
WARC,0.9,29,AP,0.8823267360423562
WARC,0.9,59,AP,0.8840066135167658
WARC,0.9,58,AP,0.8837060232977247
WARC,0.9,57,AP,0.8831075305075258
WARC,0.9,56,AP,0.8825855403366217
WARC,0.9,55,AP,0.8827273846167606
WARC,0.9,54,AP,0.8831276120659521
WARC,0.9,53,AP,0.8736249205631661
WARC,0.9,52,AP,0.8821353083279025
