technique_type,query_index,ap,auc,lag
DIRECT,0,0.0744574802545817,0.5038759689922481,42.666666666666664
DIRECT,18,1.0,1.0,0.0
DIRECT,17,0.8801587301587301,0.9895470383275261,0.8571428571428571
DIRECT,16,0.9999999999999998,1.0,0.0
DIRECT,15,1.0,1.0,0.0
DIRECT,14,0.8769230769230769,0.9825783972125436,1.4285714285714286
DIRECT,12,1.0,1.0,0.0
DIRECT,11,0.75,0.9885057471264368,1.0
DIRECT,10,0.6081871345029239,0.9341085271317829,5.666666666666667
DIRECT,13,0.7165532879818595,0.9581881533101045,3.4285714285714284
DIRECT,8,0.3988648090815273,0.8062015503875968,16.666666666666668
DIRECT,9,0.8167929292929292,0.9104938271604938,7.25
DIRECT,2,0.03393665158371041,0.4770114942528736,45.5
DIRECT,3,1.0,1.0,0.0
DIRECT,4,0.4525121159443193,0.7844129554655871,16.384615384615383
DIRECT,1,0.5120531849103278,0.8013937282229965,16.285714285714285
DIRECT,6,1.0,1.0,0.0
DIRECT,7,0.170970174857579,0.5121457489878543,37.07692307692308
DIRECT,5,0.8333333333333333,0.9942528735632185,0.5
TRANSITIVE,11,0.02247191011235955,0.28735632183908044,49.0
TRANSITIVE,18,0.125,0.9204545454545454,7.0
TRANSITIVE,17,0.7745421245421245,0.9738675958188153,2.142857142857143
TRANSITIVE,16,0.8909090909090909,0.9860627177700348,1.1428571428571428
TRANSITIVE,15,0.013513513513513514,0.17045454545454541,73.0
TRANSITIVE,14,0.7475908149821193,0.9581881533101045,3.4285714285714284
TRANSITIVE,13,0.5831101265883875,0.8797909407665505,9.857142857142858
TRANSITIVE,12,0.041666666666666664,0.7386363636363635,23.0
TRANSITIVE,10,0.1648048048048048,0.7713178294573644,19.666666666666668
TRANSITIVE,9,0.06607592035791832,0.2762345679012346,58.625
TRANSITIVE,8,0.029106507637581082,0.248062015503876,64.66666666666667
TRANSITIVE,1,0.6423338566195709,0.8780487804878049,10.0
TRANSITIVE,2,0.06724137931034482,0.6264367816091955,32.5
TRANSITIVE,3,0.25,0.9659090909090908,3.0
TRANSITIVE,0,0.035913314240874857,0.37984496124031003,53.333333333333336
TRANSITIVE,5,0.10882352941176471,0.8620689655172413,12.0
TRANSITIVE,6,0.8333333333333333,0.9942528735632185,0.5
TRANSITIVE,7,0.1546596802351488,0.535425101214575,35.30769230769231
TRANSITIVE,4,0.3304097029187889,0.7510121457489879,18.923076923076923
COMBINED,10,0.7121212121212122,0.9263565891472869,6.333333333333333
COMBINED,16,0.9999999999999998,1.0,0.0
COMBINED,15,1.0,1.0,0.0
COMBINED,14,0.8909090909090909,0.9860627177700348,1.1428571428571428
COMBINED,13,0.7365079365079366,0.9581881533101044,3.4285714285714284
COMBINED,12,1.0,1.0,0.0
COMBINED,11,0.6666666666666666,0.9770114942528736,2.0
COMBINED,9,0.78125,0.8811728395061729,9.625
COMBINED,4,0.482660332377527,0.7955465587044535,15.538461538461538
COMBINED,7,0.18832026767245214,0.5202429149797572,36.46153846153846
COMBINED,6,0.5833333333333333,0.9885057471264368,1.0
COMBINED,5,0.8333333333333333,0.9942528735632185,0.5
COMBINED,17,0.9095238095238094,0.9895470383275261,0.8571428571428571
COMBINED,3,1.0,1.0,0.0
COMBINED,2,0.03203203203203203,0.4367816091954023,49.0
COMBINED,1,0.6142390289449113,0.8466898954703832,12.571428571428571
COMBINED,0,0.058921354270191476,0.40310077519379844,51.333333333333336
COMBINED,8,0.3872889771598808,0.7403100775193798,22.333333333333332
COMBINED,18,1.0,1.0,0.0
