dataset,name,map,auc,lag,iteration,percent
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,0.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,1.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,2.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,3.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,4.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,5.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,6.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,7.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,8.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,9.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,10.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,11.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,12.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,13.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,14.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,15.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,16.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,17.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,18.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,19.0,0.0
EasyClinic,(o (MAX) ((. (VSM RAW NT) (0 2)) ($ (MAX 0.000000) ((. (VSM RAW NT) (0 1)) (. (VSM RAW NT) (1 2)))))),0.712,0.771,237.866,20.0,0.0
